tier,table_file,purpose,main_columns,paper_use,caveat
extended_main,step0_filter_flow.csv,Cohort filtering stages and retained stride-row counts.,"stage_label, rows",Methods transparency for cohort accounting.,Descriptive only.
extended_main,step1_control_partition_summary.csv,Frozen Control A / Control B membership.,"subject_id, group",Methods or supplement table for control-reuse transparency.,Important for protocol clarity but not a results table.
extended_main,step3_best_direction_recall_summary_v4.csv,Best classifier per transfer direction with recall and specificity context.,"Direction, Classifier, Subject F1, Delta subject, Control specificity, Target recall",Compact Step 3 companion table if the manuscript wants the best-direction subset explicitly.,Best-direction rows do not summarize the full classifier surface.
extended_main,step5_feature_family_sensitivity_v4.csv,Family-level permutation sensitivity across within and transfer settings.,"scope, domain, classifier, family, drop",Step 5 companion table for the feature-family story.,Family averages compress heterogeneous direction-specific behavior.
extended_main,step8_partition_overview_v4.csv,Partition-level Step 8 overview with overlap and role-reversal metadata.,"partition, role, overlap, independent_sensitivity_candidate, candidate_family",Supplementary context for the control-partition design.,Structural metadata rather than a headline results table.
main,paper_main_results_summary_v4.csv,Full direction-by-classifier cross-condition transfer summary with subject-primary columns emphasized.,"Direction, Classifier, Subject F1, Within-source subject F1, Matched degradation (subject), Control specificity, Target recall, Strategy, Permutation p-value",Primary Step 3 numerical reporting table.,Direction-level means are the safest headline summaries; not every classifier-direction row degrades.
main,step2_subject_stride_leaders_v4.csv,Condition-level within-condition leaders with subject-primary and stride-level companions.,"Condition, Leader, Subject F1, Stride F1, Subject log loss, Strategy",Exact Step 2 leader reporting.,Nested winners are protocol-specific rather than universal rankings.
main,step5_noise_robustness_summary_v4.csv,Sigma-zero replay and key severity checkpoints for the Gaussian feature-space stress test.,"scope, classifier, f1@0, f1@0.10, f1@0.25, f1@0.50, sigma_at_10pct_drop",Exact Step 5 checkpoint reporting.,"This is a feature-space perturbation diagnostic, not a raw sensor benchmark."
main,step8_direction_sensitivity_v4.csv,Direction-level matched-degradation sensitivity across alternate control partitions.,"Partition, Direction, Mean matched degradation, Sign, Best classifier, Best subject F1",Exact Step 8 sensitivity reporting.,Sensitivity qualifies the main transfer story rather than replacing it.
supplement,step0_raw_cohort_summary.csv,Supplementary numerical detail retained for repository and appendix use.,See file columns.,Supplement or appendix only.,Not every supplementary table should appear in the main manuscript.
supplement,step1_feature_family_table.csv,Supplementary numerical detail retained for repository and appendix use.,See file columns.,Supplement or appendix only.,Not every supplementary table should appear in the main manuscript.
supplement,step1_hash_summary.csv,Supplementary numerical detail retained for repository and appendix use.,See file columns.,Supplement or appendix only.,Not every supplementary table should appear in the main manuscript.
supplement,step2_modal_params_v4.csv,Supplementary numerical detail retained for repository and appendix use.,See file columns.,Supplement or appendix only.,Not every supplementary table should appear in the main manuscript.
supplement,step2_within_condition_summary_v4.csv,Supplementary numerical detail retained for repository and appendix use.,See file columns.,Supplement or appendix only.,Not every supplementary table should appear in the main manuscript.
supplement,step3_bidirectional_asymmetry_v4.csv,Supplementary numerical detail retained for repository and appendix use.,See file columns.,Supplement or appendix only.,Not every supplementary table should appear in the main manuscript.
supplement,step3_cross_condition_summary_v4.csv,Supplementary numerical detail retained for repository and appendix use.,See file columns.,Supplement or appendix only.,Not every supplementary table should appear in the main manuscript.
supplement,step3_subject_accuracy_v4.csv,Supplementary numerical detail retained for repository and appendix use.,See file columns.,Supplement or appendix only.,Not every supplementary table should appear in the main manuscript.
supplement,step3_subject_failure_summary_v4.csv,Supplementary numerical detail retained for repository and appendix use.,See file columns.,Supplement or appendix only.,Not every supplementary table should appear in the main manuscript.
supplement,step4_delta_j_long_v4.csv,Supplementary numerical detail retained for repository and appendix use.,See file columns.,Supplement or appendix only.,Not every supplementary table should appear in the main manuscript.
supplement,step4_delta_j_normalized_long_v4.csv,Supplementary numerical detail retained for repository and appendix use.,See file columns.,Supplement or appendix only.,Not every supplementary table should appear in the main manuscript.
supplement,step4_delta_j_vs_degradation_v4.csv,Supplementary numerical detail retained for repository and appendix use.,See file columns.,Supplement or appendix only.,Not every supplementary table should appear in the main manuscript.
supplement,step4_family_delta_j_long_v4.csv,Supplementary numerical detail retained for repository and appendix use.,See file columns.,Supplement or appendix only.,Not every supplementary table should appear in the main manuscript.
supplement,step4_top_feature_recurrence_v4.csv,Supplementary numerical detail retained for repository and appendix use.,See file columns.,Supplement or appendix only.,Not every supplementary table should appear in the main manuscript.
supplement,step4_top_features_v4.csv,Supplementary numerical detail retained for repository and appendix use.,See file columns.,Supplement or appendix only.,Not every supplementary table should appear in the main manuscript.
supplement,step5_conformal_summary_v4.csv,Supplementary numerical detail retained for repository and appendix use.,See file columns.,Supplement or appendix only.,Not every supplementary table should appear in the main manuscript.
supplement,step5_corruption_summary_v4.csv,Supplementary numerical detail retained for repository and appendix use.,See file columns.,Supplement or appendix only.,Not every supplementary table should appear in the main manuscript.
supplement,step5_feature_top3_v4.csv,Supplementary numerical detail retained for repository and appendix use.,See file columns.,Supplement or appendix only.,Not every supplementary table should appear in the main manuscript.
supplement,step5_noise_summary_v4.csv,Supplementary numerical detail retained for repository and appendix use.,See file columns.,Supplement or appendix only.,Not every supplementary table should appear in the main manuscript.
supplement,step5_subject_sensitivity_v4.csv,Supplementary numerical detail retained for repository and appendix use.,See file columns.,Supplement or appendix only.,Not every supplementary table should appear in the main manuscript.
supplement,step6_all_subjects_kmeans_metrics.csv,Supplementary numerical detail retained for repository and appendix use.,See file columns.,Supplement or appendix only.,Not every supplementary table should appear in the main manuscript.
supplement,step6_all_subjects_pca_coordinates.csv,Supplementary numerical detail retained for repository and appendix use.,See file columns.,Supplement or appendix only.,Not every supplementary table should appear in the main manuscript.
