tier,step,figure_stem,recommended_caption,claim_supported,why_included,caveat,pdf_path,png_path,exists_pdf,exists_png
extended_main,step3,step3_bidirectional_asymmetry,Bidirectional asymmetry of subject-level transfer between disease pairs.,Source-to-target direction matters and cannot be treated as interchangeable.,This is the most direct visualization of the asymmetry claim.,"Asymmetry should be interpreted within this repaired v4 protocol, not as a universal disease ordering.",report/figures/v4/pdf/step3/step3_bidirectional_asymmetry.pdf,report/figures/v4/png/step3/step3_bidirectional_asymmetry.png,True,True
extended_main,step3,step3_direction_intervals,Direction-level subject-F1 intervals for the best classifier in each transfer direction.,The strongest transfer directions still carry non-trivial uncertainty.,Useful when the manuscript wants explicit interval context beyond heatmaps.,Descriptive intervals only; not a primary direction-level inferential test.,report/figures/v4/pdf/step3/step3_direction_intervals.pdf,report/figures/v4/png/step3/step3_direction_intervals.png,True,True
extended_main,step4,step4_family_delta_j_consensus,Family-level consensus movement in feature reliance under transfer.,Variability and raw timing dominate the family-level transfer-diagnostic story.,This is the cleanest abstraction over the feature-level maps.,"Family movement summarizes reliance shifts, not biology.",report/figures/v4/pdf/step4/step4_family_delta_j_consensus.pdf,report/figures/v4/png/step4/step4_family_delta_j_consensus.png,True,True
extended_main,step4,step4_top_feature_recurrence,Recurring top-ranked transfer-shift features across directions and classifiers.,A small set of timing-variability descriptors repeatedly reappears in the transfer-diagnostic layer.,Useful as a feature-level complement to the family summary.,Recurrence is descriptive rather than causal.,report/figures/v4/pdf/step4/step4_top_feature_recurrence.pdf,report/figures/v4/png/step4/step4_top_feature_recurrence.png,True,True
extended_main,step5,step5_corruption_cross,Structured cross-condition corruption response across severity levels.,Heavy benchmark label corruption and heavy feature-space jitter are among the most damaging average cross-condition stressors.,Adds a perturbation family that is distinct from Gaussian stress and feature permutation.,"These are benchmark perturbations, not deployment-validated sensor-fault models.",report/figures/v4/pdf/step5/step5_corruption_cross.pdf,report/figures/v4/png/step5/step5_corruption_cross.png,True,True
extended_main,step5,step5_feature_family_sensitivity,Feature-family permutation sensitivity across within and transfer settings.,Variability and raw timing families dominate the average transfer sensitivity story.,This is a strong higher-level complement to the feature heatmaps.,Family-level averages can hide direction-specific exceptions.,report/figures/v4/pdf/step5/step5_feature_family_sensitivity.pdf,report/figures/v4/png/step5/step5_feature_family_sensitivity.png,True,True
extended_main,step6,pca_scatter_by_condition,Subject-level PCA projection colored by condition.,The condition geometry is visually structured but remains only qualitative context for the supervised results.,Useful if the supplement wants the raw PCA view alongside the K-means overlay.,Visual separation alone is not supervised evidence.,report/figures/v4/pdf/step6/pca_scatter_by_condition.pdf,report/figures/v4/png/step6/pca_scatter_by_condition.png,True,True
extended_main,step8,step8_best_transfer_leaders_heatmap,Best transfer leaders by direction and control partition.,The identity of the best transfer classifier is not completely fixed across alternate partitions.,Helpful if the supplement wants the classifier-family stability view explicitly.,"Best-leader changes should be read alongside effect-size movement, not in isolation.",report/figures/v4/pdf/step8/step8_best_transfer_leaders_heatmap.pdf,report/figures/v4/png/step8/step8_best_transfer_leaders_heatmap.png,True,True
extended_main,step8,step8_within_source_baselines,Best within-source subject-level baselines across near-optimal control partitions.,"Some Step 8 movement is driven by baseline instability, not transfer behavior alone.",Important supporting context for the sensitivity verdict.,Baseline drift does not by itself imply transfer failure.,report/figures/v4/pdf/step8/step8_within_source_baselines.pdf,report/figures/v4/png/step8/step8_within_source_baselines.png,True,True
main,step0,step0_authoritative_filtering_cascade,Authoritative v4 filtering cascade from raw stride rows to the retained cohort.,The retained dataset is auditable from raw rows to the frozen analytical matrix.,Cohort accounting is essential for a publication-track biomedical ML study.,Descriptive only; not a performance result.,report/figures/v4/pdf/step0/step0_authoritative_filtering_cascade.pdf,report/figures/v4/png/step0/step0_authoritative_filtering_cascade.png,True,True
